Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00049,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/HiPKI_Root_CA_-_G1.pem,Internal,PEM certificate in /etc/ssl/certs/HiPKI_Root_CA_-_G1.pem,RSA,,,,sha256:f015ce3cc239bfef064be9f1d2c417e1a0264a0a94be1f0c8d121864eb6949cc,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00050,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Telekom_Security_TLS_RSA_Root_2023.pem,Internal,PEM certificate in /etc/ssl/certs/Telekom_Security_TLS_RSA_Root_2023.pem,RSA,,,,sha256:efc65cadbb59adb6efe84da22311b35624b71b3b1ea0da8b6655174ec8978646,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00051,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/6b99d060.0,Internal,PEM certificate in /etc/ssl/certs/6b99d060.0,RSA,,,,sha256:73c176434f1bc6d5adf45b0e76e727287c8de57616c1e6e6141a2b2cbc7d8e4c,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00052,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/54657681.0,Internal,PEM certificate in /etc/ssl/certs/54657681.0,RSA,,,,sha256:9a114025197c5bb95d94e63d55cd43790847b646b23cdf11ada4a00eff15fb48,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00053,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/c28a8a30.0,Internal,PEM certificate in /etc/ssl/certs/c28a8a30.0,RSA,,,,sha256:49e7a442acf0ea6287050054b52564b650e4f49e42e348d6aa38e039e957b1c1,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00054,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/1e09d511.0,Internal,PEM certificate in /etc/ssl/certs/1e09d511.0,RSA,,,,sha256:91e2f5788d5810eba7ba58737de1548a8ecacd014598bc0b143e041b17052552,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00055,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/GTS_Root_R4.pem,Internal,PEM certificate in /etc/ssl/certs/GTS_Root_R4.pem,EC (ECDSA/ECDH),,,,sha256:349dfa4058c5e263123b398ae795573c4e1313c83fe68f93556cd5e8031b3c7d,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00056,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Certainly_Root_E1.pem,Internal,PEM certificate in /etc/ssl/certs/Certainly_Root_E1.pem,EC (ECDSA/ECDH),,,,sha256:b4585f22e4ac756a4e8612a1361c5d9d031a93fd84febb778fa3068b0fc42dc2,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00057,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Amazon_Root_CA_2.pem,Internal,PEM certificate in /etc/ssl/certs/Amazon_Root_CA_2.pem,RSA,,,,sha256:1ba5b2aa8c65401a82960118f80bec4f62304d83cec4713a19c39c011ea46db4,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00058,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/dc4d6a89.0,Internal,PEM certificate in /etc/ssl/certs/dc4d6a89.0,RSA,,,,sha256:2cabeafe37d06ca22aba7391c0033d25982952c453647349763a3ab5ad6ccf69,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00059,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ff34af3f.0,Internal,PEM certificate in /etc/ssl/certs/ff34af3f.0,RSA,,,,sha256:46edc3689046d53a453fb3104ab80dcaec658b2660ea1629dd7e867990648716,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00060,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/9bf03295.0,Internal,PEM certificate in /etc/ssl/certs/9bf03295.0,RSA,,,,sha256:e0d3226aeb1163c2e48ff9be3b50b4c6431be7bb1eacc5c36b5d5ec509039a08,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00061,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Amazon_Root_CA_4.pem,Internal,PEM certificate in /etc/ssl/certs/Amazon_Root_CA_4.pem,EC (ECDSA/ECDH),,,,sha256:e35d28419ed02025cfa69038cd623962458da5c695fbdea3c22b0bfb25897092,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
